id,kategori,nama_budaya,deskripsi_singkat,makna_dan_fungsi,lokasi_utama,lintang,bujur,kondisi
66,Pakaian & Aksesoris Adat,Pakaian Sukarare,Pakaian adat lengkap dari tenun songket bermotif khas,Martabat kehalusan budi & identitas daerah,Desa Sukarare,-8.7619,116.2147,Terawat
67,Pakaian & Aksesoris Adat,Sapuq,Ikat kepala dari kain tenun bermotif geometris,Kendali pikiran agar tetap fokus & bijak,Seluruh Lombok,-8.5650,116.3510,Terawat
68,Pakaian & Aksesoris Adat,Kemeja Godoq,Baju lengan panjang longgar dari kain tenun tebal,Ketangguhan & kesederhanaan pria Sasak,Seluruh Lombok,-8.5650,116.3510,Terawat
69,Pakaian & Aksesoris Adat,Sarung Songket,Kain sarung bermotif benang emas perak tenun tangan,Kemuliaan dipakai saat momen sakral,Seluruh Lombok,-8.5650,116.3510,Terawat
70,Pakaian & Aksesoris Adat,Keris Sasak,Senjata pusaka berbilah khas gagang ukiran khas daerah,Kehormatan kewibawaan & perlindungan,Seluruh Lombok,-8.5650,116.3510,Terawat
71,Pakaian & Aksesoris Adat,Sabuk Tenun,Sabuk lebar dari tenun songket mengikat pinggang,Kekokohan pendirian & kewibawaan,Seluruh Lombok,-8.5650,116.3510,Terawat
72,Pakaian & Aksesoris Adat,Baju Kurung Sasak,Baju wanita potongan kurung lengan panjang,Keanggunan kesopanan & kesucian wanita,Seluruh Lombok,-8.5650,116.3510,Terawat
73,Pakaian & Aksesoris Adat,Sanggul Sasak,Tata rambut wanita disanggul tinggi dihiasi bunga & perhiasan,Kedewasaan & keanggunan wanita,Seluruh Lombok,-8.5650,116.3510,Terawat
74,Pakaian & Aksesoris Adat,Anting Emas Motif Bintang,Perhiasan telinga bermotif bintang khas Sasak,Kemakmuran & kecantikan,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
75,Pakaian & Aksesoris Adat,Kalung Bunga Melati,Perhiasan leher dari melati segar saat upacara,Kesucian & keharuman budi pekerti,Seluruh Lombok,-8.5650,116.3510,Terawat
76,Pakaian & Aksesoris Adat,Gelang Kaki Perak,Aksesoris wanita dari perak berukir halus,Penolak energi buruk & keanggunan langkah,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
77,Pakaian & Aksesoris Adat,Ikat Pinggang Kain Sutra,Pengikat pinggang khusus dari sutra tenun halus,Kemewahan yang tetap rendah hati,Desa Sukarare,-8.7619,116.2147,Tidak Terawat
78,Pakaian & Aksesoris Adat,Peci Songket,Penutup kepala pria dari songket bermotif,Kewibawaan & kesatria,Seluruh Lombok,-8.5650,116.3510,Terawat
79,Pakaian & Aksesoris Adat,Sarung Motif Subahnale,Kain sarung bermotif khas warisan leluhur,Identitas kekerabatan keluarga besar,Desa Sade,-8.8394,116.2921,Tidak Terawat
80,Pakaian & Aksesoris Adat,Kain Penutup Bahu Selendang,Kain lebar disampirkan di bahu wanita,Keramahan & kesopanan menyapa,Seluruh Lombok,-8.5650,116.3510,Terawat
81,Pakaian & Aksesoris Adat,Terompah Kayu,Alas kaki dari kayu keras ukiran khas,Kesehatan kaki & kesederhanaan,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
82,Pakaian & Aksesoris Adat,Perhiasan Dada Kancing Emas,Peniti baju dari emas bermotif padi,Simbol kesuburan & rezeki berlimpah,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
83,Pakaian & Aksesoris Adat,Pakaian Pengantin Pria Sasak,Set lengkap songket keris sapuq peci,Simbol siap memimpin & bertanggung jawab,Seluruh Lombok,-8.5650,116.3510,Terawat
84,Pakaian & Aksesoris Adat,Pakaian Pengantin Wanita Sasak,Set songket sanggul penuh perhiasan emas,Simbol kesucian & kemuliaan memasuki rumah tangga,Seluruh Lombok,-8.5650,116.3510,Terawat
85,Motif Tenun Songket,Motif Subahnale,Motif geometris berulang khas warisan tertua Sasak,Kesatuan hati & pikiran yang selalu mengingat Tuhan,Desa Sukarare,-8.7619,116.2147,Terawat
86,Motif Tenun Songket,Motif Padi Menari,Garis-garis melengkung menyerupai padi tertiup angin,Kesuburan tanah & rasa syukur panen berlimpah,Desa Sukarare,-8.7619,116.2147,Terawat
87,Motif Tenun Songket,Motif Bintang Delapan Sudut,Bentuk simetris 8 arah mata angin,Perlindungan dari segala arah & petunjuk jalan benar,Desa Sade,-8.8394,116.2921,Terawat
88,Motif Tenun Songket,Motif Naga Besisik,Garis bergerigi menyerupai sisik naga legenda,Kekuatan gaib pelindung dari marabahaya,Desa Rambitan,-8.8452,116.3058,Tidak Terawat
89,Motif Tenun Songket,Motif Kupu-kupu Malam,Bentuk sayap kupu-kupu simetris cantik,Kecantikan yang lahir dari kesabaran & ketelatenan,Desa Sukarare,-8.7619,116.2147,Terawat
90,Motif Tenun Songket,Motif Gelombang Laut,Garis bergelombang mendatar berulang,Kekuatan alam laut & penghidupan nelayan,Pantai Tanjung Luar,-8.8069,116.6119,Tidak Terawat
91,Motif Tenun Songket,Motif Gunung Rinjani,Bentuk kerucut bertingkat menyerupai puncak gunung,Kekuatan alam tertinggi tempat bersemayam roh leluhur,Seluruh Lombok,-8.5650,116.3510,Terawat
92,Motif Tenun Songket,Motif Jala Ikan,Bentuk anyaman jala berbentuk belah ketupat,Rezeki yang datang dari kerja keras & kerjasama,Pantai Labuhan Haji,-8.8531,116.5503,Tidak Terawat
93,Motif Tenun Songket,Motif Bunga Melati,Lima kelopak bunga melati tersusun rapi,Kesucian hati & keharuman budi pekerti mulia,Seluruh Lombok,-8.5650,116.3510,Terawat
94,Motif Tenun Songket,Motif Ular Naga,Garis memanjang berkelok-kelok di tengah kain,Kekuatan penyembuh & pelindung keselamatan jiwa,Bayan Lombok Utara,-8.2666,116.4272,Rusak Berat
95,Motif Tenun Songket,Motif Tali Pusaka,Garis lurus tebal bersilangan tegak lurus,Ikatan persaudaraan yang tidak akan pernah putus,Seluruh Lombok,-8.5650,116.3510,Terawat
96,Motif Tenun Songket,Motif Kelelawan,Bentuk sayap kelelawar terbang menyebar,Kewaspadaan tinggi dalam menjaga diri & keluarga,Desa Puyung,-8.7281,116.2419,Rusak Berat
97,Motif Tenun Songket,Motif Matahari Terbit,Bentuk lingkaran bersinar 12 arah,Kehidupan baru harapan & semangat setiap pagi,Seluruh Lombok,-8.5650,116.3510,Terawat
98,Motif Tenun Songket,Motif Daun Pisang,Bentuk memanjang melebar berjejer rapi,Kemakmuran & banyak manfaat bagi sesama,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
99,Motif Tenun Songket,Motif Cacing Nyale,Bentuk panjang kecil berderet-deret,Kenangan abadi Putri Mandalika & kesetiaan cinta,Pantai Seger Kuta,-8.8983,116.3050,Terawat
100,Motif Tenun Songket,Motif Sangkur Pusaka,Bentuk melengkung menyerupai bilah keris,Kehormatan kewibawaan & keberanian membela kebenaran,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
101,Motif Tenun Songket,Motif Rumbai Rumbia,Garis pendek banyak menjuntai ke bawah,Kerendahan hati yang selalu memberi manfaat,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
102,Motif Tenun Songket,Motif Burung Gagak,Bentuk burung terbang sayap terbuka lebar,Peringatan agar selalu waspada & tidak mudah percaya,Desa Sade,-8.8394,116.2921,Rusak Berat
103,Motif Tenun Songket,Motif Anyaman Bambu,Belah ketupat bersambung rapi tak berujung,Kehidupan masyarakat yang saling terikat gotong royong,Seluruh Lombok,-8.5650,116.3510,Terawat
104,Motif Tenun Songket,Motif Air Terjun Senaru,Garis vertikal bergelombang turun ke bawah,Kesegaran alam & sumber kehidupan yang tak pernah kering,Senaru Lombok Utara,-8.3253,116.4642,Tidak Terawat
105,Motif Tenun Songket,Motif Bunga Teratai,Bunga mengapung di atas air berdaun lebar,Kesucian yang tetap terjaga walau hidup di tempat keruh,Seluruh Lombok,-8.5650,116.3510,Terawat
106,Motif Tenun Songket,Motif Gigi Rusa,Bentuk runcing berjejer berulang simetris,Kekuatan fisik & ketangkasan dalam berburu & berjuang,Sembalun,-8.3598,116.5258,Rusak Berat
107,Motif Tenun Songket,Motif Tiang Sembilan,Sembilan garis tegak sejajar sama panjang,Sembilan sifat utama manusia sempurna berakhlak mulia,Lombok Tengah,-8.7903,116.2533,Tidak Terawat
108,Motif Tenun Songket,Motif Jantung Hati,Bentuk lengkung tertutup menyerupai jantung,Ketulusan hati & kesetiaan cinta seumur hidup,Seluruh Lombok,-8.5650,116.3510,Terawat
109,Motif Tenun Songket,Motif Kaki Seribu,Garis pendek sangat banyak berderet rapi,Kekuatan yang muncul dari jumlah banyak & persatuan kokoh,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
110,Motif Tenun Songket,Motif Awan Mendung,Bentuk lengkung besar bertumpuk ke atas,Ketenangan hati sebelum turun rahmat & hujan berkah,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
111,Motif Tenun Songket,Motif Buah Kelapa,Bentuk bulat sempurna berserat di sekeliling,Kegunaan serba guna pohon kehidupan bagi masyarakat,Seluruh Lombok,-8.5650,116.3510,Terawat
112,Motif Tenun Songket,Motif Panah Menembus,Garis lurus runcing menembus lingkaran,Tekad kuat pantang mundur meraih cita-cita mulia,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
113,Motif Tenun Songket,Motif Bunga Kenanga,Bentuk memanjang 6 kelopak menjuntai,Wangian abadi & nama baik yang selalu diingat orang,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
114,Motif Tenun Songket,Motif Sisik Ikan,Bentuk setengah lingkaran kecil bertumpuk rapi,Pertahanan diri yang kuat namun tetap luwes bergaul,Pantai Tanjung,-8.8069,116.6119,Tidak Terawat
115,Motif Tenun Songket,Motif Pintu Gerbang,Dua garis tegak dihubungkan garis melengkung atas,Pembuka jalan rezeki & perlindungan batas wilayah,Seluruh Lombok,-8.5650,116.3510,Terawat
116,Motif Tenun Songket,Motif Lintah Darat,Bentuk memanjang melengkung dua arah,Peringatan agar waspada terhadap orang berniat buruk,Desa Rambitan,-8.8452,116.3058,Rusak Berat
117,Motif Tenun Songket,Motif Daun Kelapa Muda,Bentuk runcing memanjang berjejer kipas,Keremajaan semangat & kesegaran pikiran yang jernih,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
118,Motif Tenun Songket,Motif Roda Kehidupan,Lingkaran penuh dengan 8 jari-jari simetris,Putaran hidup naik turun yang harus dihadapi sabar,Seluruh Lombok,-8.5650,116.3510,Terawat
119,Motif Tenun Songket,Motif Burung Merpati,Bentuk burung kecil sayap terkatup rapi,Damai sejahtera & kesetiaan dalam ikatan perkawinan,Seluruh Lombok,-8.5650,116.3510,Terawat
120,Motif Tenun Songket,Motif Karang Laut,Bentuk tidak beraturan runcing-runcing,Ketahanan hati walau terus dihantam badai kehidupan,Pantai Senggigi,-8.4931,116.0458,Tidak Terawat
121,Motif Tenun Songket,Motif Tali Silang,Garis miring bersilangan membentuk huruf X,Kesatuan dua kekuatan berbeda menjadi satu kekuatan baru,Seluruh Lombok,-8.5650,116.3510,Terawat
122,Motif Tenun Songket,Motif Buah Nangka,Bentuk besar berbenjol-benjol kasar luarnya,Kebaikan hati yang manis walau tampang luar biasa saja,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
123,Motif Tenun Songket,Motif Cahaya Lilin,Titik terang memancar garis ke segala arah,Ilmu pengetahuan yang menerangi jalan kegelapan,Seluruh Lombok,-8.5650,116.3510,Terawat
124,Motif Tenun Songket,Motif Akar Kayu,Garis berkelok-kelok memanjang ke segala sisi,Keteguhan hati yang berpegang teguh pada prinsip benar,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
125,Motif Tenun Songket,Motif Bunga Matahari,Bentuk lingkaran besar dikelilingi kelopak banyak,Semangat selalu menghadap kebaikan & tidak mudah putus asa,Seluruh Lombok,-8.5650,116.3510,Terawat
126,Motif Tenun Songket,Motif Gendang Beleq,Bentuk lonjong membesar di tengah,Kegagahan semangat juang & pemersatu warga desa,Lombok Timur,-8.3715,116.5258,Terawat
127,Motif Tenun Songket,Motif Siku Elang,Bentuk siku tajam menyerupai cakar burung elang,Ketajaman naluri & keberanian mengambil keputusan penting,Sembalun,-8.3598,116.5258,Rusak Berat
128,Motif Tenun Songket,Motif Air Tenang,Garis lurus mendatar sempurna tanpa gelombang,Ketenangan batin saat menghadapi segala masalah hidup,Seluruh Lombok,-8.5650,116.3510,Terawat
129,Motif Tenun Songket,Motif Daun Singkong,Bentuk menjari 5 atau 7 arah,Keluarga besar yang rukun bercabang tapi tetap satu induk,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
130,Motif Tenun Songket,Motif Perisai Kulit,Bentuk persegi panjang melengkung ujungnya,Perlindungan diri keluarga & tanah air dari serangan,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
131,Motif Tenun Songket,Motif Bintang Lima Sudut,Bentuk simetris 5 sudut sama besar,Cahaya petunjuk di saat gelap & harapan tak pernah padam,Seluruh Lombok,-8.5650,116.3510,Terawat
132,Motif Tenun Songket,Motif Lidah Api,Bentuk runcing memanjang naik ke atas tak beraturan,Semangat membara pantang menyerah & semangat juang tinggi,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
133,Motif Tenun Songket,Motif Kupu-kupu Sawah,Bentuk kecil sayap membulat sederhana,Kebahagiaan sederhana yang datang dari hati yang tulus,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
134,Motif Tenun Songket,Motif Batu Cincin,Bentuk lingkaran dalam lingkaran luar,Kesetiaan ikatan janji suci yang takkan pernah berubah,Seluruh Lombok,-8.5650,116.3510,Terawat
135,Motif Tenun Songket,Motif Ombak Bergulung,Garis melengkung bertumpuk tiga ke arah sama,Kekuatan alam dahsyat & peringatan hormati alam,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
136,Motif Tenun Songket,Motif Buah Pisang,Bentuk memanjang berjejer satu sisir banyak,Rukun anggota keluarga yang saling melindungi satu sama lain,Seluruh Lombok,-8.5650,116.3510,Terawat
137,Motif Tenun Songket,Motif Jaring Laba-laba,Garis halus bersambung simetris dari titik tengah,Kerja cerdas teliti & sabar menunggu hasil yang pasti,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
138,Motif Tenun Songket,Motif Embun Pagi,Titik bulat kecil tersebar merata di seluruh bidang,Berkah Tuhan yang datang halus tak terduga di pagi hari,Seluruh Lombok,-8.5650,116.3510,Terawat
139,Motif Tenun Songket,Motif Sayap Garuda,Bentuk besar melebar simetris kiri kanan,Kekuatan negara & kebanggaan menjadi bangsa yang besar,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
140,Motif Tenun Songket,Motif Bunga Mawar Merah,Lima kelopak melengkung indah berduri di tangkai,Cinta yang indah namun harus dijaga dengan kesungguhan hati,Seluruh Lombok,-8.5650,116.3510,Terawat
141,Motif Tenun Songket,Motif Tangga Naik,Garis bertingkat naik berurutan ke kanan atas,Proses kehidupan yang makin lama makin baik & berkah,Seluruh Lombok,-8.5650,116.3510,Terawat
142,Motif Tenun Songket,Motif Gigi Gergaji,Garis runcing berjejer tajam menghadap satu arah,Ketegasan pendirian & batas tegas antara benar salah,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
143,Motif Tenun Songket,Motif Awan Putih Bersih,Bentuk lengkung lembut tanpa sudut tajam,Hati yang bersih & pikiran yang selalu damai menyejukkan,Seluruh Lombok,-8.5650,116.3510,Terawat
